b'Wifi ok'
b'Card Pronto para uso :)'
b'2023-10-03T20:45:44Z-Temperatura=22.09/Corrente=-0.12/Tensao01=0.00/Tensao02=4.10/Tensao03=0.00/Tensao04=0.00'
b''
b'mensagem escrita com sucesso'
b'2023-10-03T06:50:11Z-Temperatura=18.40/Corrente=0.00/Tensao01=0.00/Tensao02=0.00/Tensao03=12.66/Tensao04=0.00'
b'2023-10-03T06:50:16Z-Temperatura=19.94/Corrente=-0.06/Tensao01=0.00/Tensao02=0.00/Tensao03=12.67/Tensao04=0.00'
b'2023-10-03T06:50:22Z-Temperatura=18.69/Corrente=-0.02/Tensao01=0.00/Tensao02=0.00/Tensao03=12.60/Tensao04=0.00'
b'2023-10-03T06:50:27Z-Temperatura=18.32/Corrente=-0.02/Tensao01=0.00/Tensao02=0.00/Tensao03=12.71/Tensao04=0.00'
b'2023-10-03T06:50:33Z-Temperatura=18.25/Corrente=0.00/Tensao01=0.00/Tensao02=0.00/Tensao03=12.75/Tensao04=0.00'
b'2023-10-03T06:50:38Z-Temperatura=19.17/Corrente=-0.07/Tensao01=0.00/Tensao02=0.00/Tensao03=12.72/Tensao04=0.00'
b'2023-10-03T06:50:44Z-Temperatura=18.03/Corrente=-0.07/Tensao01=0.00/Tensao02=0.00/Tensao03=12.76/Tensao04=0.00'
b'2023-10-03T06:50:49Z-Temperatura=19.47/Corrente=-0.43/Tensao01=0.00/Tensao02=0.00/Tensao03=12.77/Tensao04=0.00'
b'2023-10-03T06:50:55Z-Temperatura=19.23/Corrente=-0.11/Tensao01=0.00/Tensao02=0.00/Tensao03=12.77/Tensao04=0.00'
b'2023-10-03T06:51:00Z-Temperatura=19.23/Corrente=-0.89/Tensao01=0.00/Tensao02=0.00/Tensao03=13.51/Tensao04=0.00'
b'2023-10-03T06:51:06Z-Temperatura=18.75/Corrente=-0.05/Tensao01=0.00/Tensao02=0.00/Tensao03=12.79/Tensao04=0.00'
b'2023-10-03T06:51:12Z-Temperatura=18.96/Corrente=-0.03/Tensao01=0.00/Tensao02=0.00/Tensao03=12.80/Tensao04=0.00'
b'2023-10-03T06:51:17Z-Temperatura=18.94/Corrente=-0.09/Tensao01=0.00/Tensao02=0.00/Tensao03=12.81/Tensao04=0.00'
b'2023-10-03T06:51:23Z-Temperatura=19.82/Corrente=-0.07/Tensao01=0.00/Tensao02=0.00/Tensao03=12.86/Tensao04=0.00'
b'2023-10-03T06:51:28Z-Temperatura=19.07/Corrente=-0.08/Tensao01=0.00/Tensao02=0.00/Tensao03=12.88/Tensao04=0.00'
b'2023-10-03T06:51:34Z-Temperatura=19.10/Corrente=-0.08/Tensao01=0.00/Tensao02=0.00/Tensao03=12.90/Tensao04=0.00'
b'2023-10-03T06:51:39Z-Temperatura=19.61/Corrente=-0.04/Tensao01=0.00/Tensao02=0.00/Tensao03=12.90/Tensao04=0.00'
b'2023-10-03T06:51:45Z-Temperatura=18.50/Corrente=-0.03/Tensao01=0.00/Tensao02=0.00/Tensao03=12.94/Tensao04=0.00'
b'2023-10-03T06:51:50Z-Temperatura=19.26/Corrente=-0.07/Tensao01=0.00/Tensao02=0.00/Tensao03=12.94/Tensao04=0.00'
b'2023-10-03T06:51:56Z-Temperatura=18.76/Corrente=-0.09/Tensao01=0.00/Tensao02=0.00/Tensao03=12.94/Tensao04=0.00'
